FP001	FP002	FP003	FP004	FP005	FP006	FP007	FP008	FP009	FP010	FP011	FP012	FP013	FP014	FP015	FP016	FP017	FP018	FP019	FP020	FP021	FP022	FP023	FP024	FP025	FP026	FP027	FP028	FP029	FP030	FP031	FP032	FP033	FP034	FP035	FP036	FP037	FP038	FP039	FP040	FP041	FP042	FP043	FP044	FP045	FP046	FP047	FP048	FP049	FP050	FP051	FP052	FP053	FP054	FP055	FP056	FP057	FP058	FP059	FP060	FP061	FP062	FP063	FP064	FP065	FP066	FP067	FP068	FP069	FP070	FP071	FP072	FP073	FP074	FP075	FP076	FP077	FP078	FP079	FP080	FP081	FP082	FP083	FP084	FP085	FP086	FP087	FP088	FP089	FP090	FP091	FP092	FP093	FP094	FP095	FP096	FP097	FP098	FP099	FP100	FP101	FP102	FP103	FP104	FP105	FP106	FP107	FP108	FP109	FP110	FP111	FP112	FP113	FP114	FP115	FP116	FP117	FP118	FP119	FP120	FP121	FP122	FP123	FP124	FP125	FP126	FP127	FP128	FP129	FP130	FP131	FP132	FP133	FP134	FP135	FP136	FP137	FP138	FP139	FP140	FP141	FP142	FP143	FP144	FP145	FP146	FP147	FP148	FP149	FP150	FP151	FP152	FP153	FP154	FP155	FP156	FP157	FP158	FP159	FP160	FP161	FP162	FP163	FP164	FP165	FP166	FP167	FP168	FP169	FP170	FP171	FP172	FP173	FP174	FP175	FP176	FP177	FP178	FP179	FP180	FP181	FP182	FP183	FP184	FP185	FP186	FP187	FP188	FP189	FP190	FP191	FP192	FP193	FP194	FP195	FP196	FP197	FP198	FP199	FP200	FP201	FP202	FP203	FP204	FP205	FP206	FP207	FP208	MolWeight	NumAtoms	NumNonHAtoms	NumBonds	NumNonHBonds	NumMultBonds	NumRotBonds	NumDblBonds	NumAromaticBonds	NumHydrogen	NumCarbon	NumNitrogen	NumOxygen	NumSulfer	NumChlorine	NumHalogen	NumRings	HydrophilicFactor	SurfaceArea1	SurfaceArea2
0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5.343673068268834	3.367295829986474	2.833213344056216	3.4339872044851463	4.0099156365857125	5.264608753994333	0	-0	2.833213344056216	3.8621794814052675	4.177811269475519	0.584814591455163	0	-0	-0	-0	1.3862943611198906	-1.606541809728411	6.812456084902268	6.812456084902268
0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5.904107655889731	3.912023005428146	3.295836866004329	3.970291913552122	4.8717524291741015	4.684411890070345	1.6094379124341003	-0	2.5649493574615367	5.315193113201553	5.092358085037012	0.6423550085795294	0.6931471805599453	0.375	-0	-0	1.6094379124341003	-0.4413304276116355	9.753834340180761	12.029604157098523
1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.334215257545021	3.5263605246161616	2.772588722239781	3.5263605246161616	3.7055056329612426	3.243491774985176	1.6094379124341003	0.5670767410225881	1.9459101490553132	4.729818271625294	4.023944488861893	-0	1.0986122886681098	-0	-0	-0	0.6931471805599453	-0.38485909654628525	8.245324076819786	8.245324076819786
0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.921876937480489	3.295836866004329	2.3978952727983707	3.295836866004329	3.076971331010891	1.3796139347883993	0.6931471805599453	0.8045302367136892	0	4.465208778938173	3.5104547121961476	-0	0	-0	-0	-0	0.6931471805599453	-2.373472195596232	0	0
0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.441334873382962	3.4657359027997265	2.772588722239781	3.4657359027997265	3.7055056329612426	2.944766061206951	1.791759469228055	-0	1.9459101490553132	4.465208778938173	3.3175410498962665	0.6943345280682225	0	-0	0.375	0.375	0.6931471805599453	-0.0709872616245704	9.913534932472128	9.913534932472128
1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.603040904854669	3.4965075614664802	2.772588722239781	3.4657359027997265	3.5938596379373946	1.3796139347883993	1.791759469228055	0.8045302367136892	0	4.600087581988137	3.5104547121961476	0.4568260014014479	0.6931471805599453	0.375	0.4444444444444444	0.4444444444444444	0	-0.9492532733320377	5.999108794711478	9.123358951287791
0	1	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	5.841310038608051	3.58351893845611	3.1780538303479458	3.6635616461296463	4.665910224658815	5.617857977839174	0.6931471805599453	0.5670767410225881	2.8903717578961645	3.8621794814052675	4.600087581988137	0.67430248265846	0	-0	0.4444444444444444	0.4444444444444444	1.6094379124341003	-1.1490856222559132	8.865727225419787	8.865727225419787
1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	5.30509435082706	3.6635616461296463	2.70805020110221	3.6375861597263857	3.4760910153621785	0.7987697769322359	2.3978952727983707	0.5670767410225881	0	5.421759348012561	3.8621794814052675	-0	1.0986122886681098	-0	-0	-0	0	-1.5128807993161029	6.884368811578828	6.884368811578828
1	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5.933597058404449	4.04305126783455	3.332204510175204	4.0943445622221	4.936703773322292	2.2591348467896966	0.6931471805599453	1.0321153537613739	0	5.913970382240607	5.205471673819378	-0	1.6094379124341003	-0	-0	0.375	1.6094379124341003	0.18049035764023041	11.604208741489122	11.604208741489122
1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	5.452582325559466	3.6375861597263857	2.8903717578961645	3.6635616461296463	4.0099156365857125	3.243491774985176	1.0986122886681098	0.5670767410225881	1.9459101490553132	4.975585828467534	4.177811269475519	0.584814591455163	0.6931471805599453	-0	-0	-0	1.0986122886681098	0.31165138539886755	8.662888641123466	8.662888641123466
